
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.14.5, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...:     4500
Number of nonzeros in inequality constraint Jacobian.:     1600
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     2100
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     2100
                     variables with only upper bounds:        0
Total number of equality constraints.................:      900
Total number of inequality constraints...............:      800
        inequality constraints with only lower bounds:      800
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

  91r 1.8506044e+08 1.71e+00 4.19e+03   2.1 1.27e+00    -  2.23e-02 9.33e-02f  1
  92r 1.8506044e+08 1.71e+00 6.62e+02   1.0 5.47e+00    -  0.00e+00 3.93e-07R 16
  93r 1.8507028e+08 2.36e+00 2.13e+04   1.0 5.89e+01    -  8.57e-01 2.69e-02f  1
  94r 1.8544833e+08 1.90e+00 1.08e+02   1.0 2.38e+00    -  1.00e+00 8.41e-01f  1
  95r 1.8518244e+08 1.71e+00 3.67e+08   0.3 2.17e+00    -  4.71e-01 6.82e-01f  1
  96r 1.8517798e+08 1.71e+00 2.73e+08   0.3 2.23e+00    -  3.63e-02 1.74e-02f  2
  97r 1.8517798e+08 1.71e+00 9.94e+02   0.3 1.67e+00    -  0.00e+00 3.37e-07R 18
  98r 1.8517826e+08 1.71e+00 1.55e+03   0.3 2.00e+02    -  8.69e-02 5.52e-03f  1
  99r 1.8517951e+08 1.71e+00 1.55e+03   0.3 7.29e+01    -  1.04e-02 9.28e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100r 1.8518274e+08 1.71e+00 1.35e+06   0.3 9.44e+00    -  9.87e-01 2.58e-02f  1
 101r 1.8519518e+08 1.71e+00 1.86e+08   0.3 5.71e+00    -  4.59e-02 1.31e-01f  1
 102r 1.8519519e+08 1.71e+00 3.50e+09   0.3 3.61e+02    -  1.65e-02 5.14e-04f  1
 103r 1.8520547e+08 1.71e+00 2.20e+03   0.3 4.63e+00    -  4.90e-04 1.20e-01f  1
 104r 1.8522353e+08 2.30e+00 2.01e+07   0.3 6.61e+00    -  1.40e-01 1.60e-01f  1
 105r 1.8522389e+08 1.71e+00 7.13e+09   0.3 7.71e+02    -  1.24e-01 2.03e-03f  1
 106r 1.8522986e+08 1.71e+00 2.08e+09   0.3 1.73e+00    -  1.00e+00 3.31e-02f  1
 107r 1.8523000e+08 1.71e+00 8.11e+07   0.3 8.12e-01    -  5.67e-03 6.08e-03h  1
 108r 1.8527640e+08 1.71e+00 1.75e+09   0.3 1.71e+00    -  2.03e-03 2.55e-01f  1
 109r 1.8527743e+08 1.71e+00 3.34e+03   0.3 6.08e-01    -  1.52e-02 2.93e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110r 1.8527765e+08 1.71e+00 1.66e+09   0.3 1.62e+00    -  2.14e-02 1.29e-03f  1
 111r 1.8527766e+08 1.71e+00 8.62e+08   0.3 6.01e-01    -  2.68e-02 3.78e-04h  1
 112r 1.8527784e+08 1.71e+00 3.33e+03   0.3 1.11e+02    -  8.88e-01 1.16e-03f  1
 113r 1.8547001e+08 1.71e+00 5.25e+09   0.3 1.71e+00    -  1.00e+00 9.85e-01F  1
 114r 1.8554292e+08 1.71e+00 7.32e-01   0.3 1.71e+00    -  1.00e+00 1.00e+00h  1
 115r 1.8542226e+08 1.71e+00 4.35e+01  -0.4 1.71e+00    -  1.00e+00 9.71e-01h  1
 116r 1.8548898e+08 1.71e+00 2.90e+04  -1.4 1.71e+00    -  1.00e+00 1.00e+00h  1
 117r 1.8561417e+08 1.71e+00 6.88e+01  -0.8 1.71e+00    -  1.00e+00 1.00e+00h  1
 118r 1.8569730e+08 1.71e+00 6.69e+04  -1.4 1.71e+00    -  1.00e+00 9.94e-01h  1
 119r 1.8585817e+08 1.71e+00 1.52e+06  -2.4 1.71e+00    -  1.00e+00 9.98e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120r 1.8589051e+08 1.71e+00 1.79e+02  -2.8 4.93e+00    -  1.00e+00 2.23e-01f  1
 121r 1.8591611e+08 1.71e+00 1.53e+03  -0.5 4.40e+00    -  6.88e-02 7.88e-02f  1
 122r 1.8593308e+08 1.71e+00 9.46e+06  -0.2 1.22e+01    -  1.33e-01 2.99e-02f  1
 123r 1.8593486e+08 1.71e+00 4.92e+12  -7.1 4.62e+00    -  1.39e-02 3.96e-03h  1
 124r 1.8593487e+08 1.71e+00 1.04e+03   0.9 8.29e+03    -  6.14e-04 1.57e-05f  1
 125r 1.8593489e+08 1.71e+00 1.04e+03  -1.2 1.71e+00    -  1.40e-04 1.40e-04s 10
 126r 1.8593489e+08 1.71e+00 6.66e+02  -1.2 1.71e+00    -  0.00e+00 0.00e+00R  1
 127r 1.8594971e+08 1.71e+00 5.96e+09   1.0 7.13e+00    -  1.50e-02 9.21e-02f  1
 128r 1.8595283e+08 1.71e+00 5.54e+11   1.5 1.54e+03    -  6.35e-02 7.13e-04f  1
 129r 1.9914482e+08 4.33e+00 4.04e+11   1.5 2.29e+01    -  1.65e-02 7.57e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130r 1.8663286e+08 3.38e+00 3.16e+11   1.5 6.90e+01    -  9.73e-01 2.19e-01f  1
 131r 1.8725722e+08 1.71e+00 3.99e+03   1.5 5.29e+00    -  6.54e-01 5.00e-01f  2
 132r 1.8725722e+08 1.71e+00 1.97e+01   1.5 8.00e+00    -  0.00e+00 4.77e-07R 22
 133r 1.8768746e+08 2.61e+00 8.61e+09   1.5 6.49e+00    -  1.00e+00 5.00e-01f  2
 134r 1.8769662e+08 2.36e+00 9.52e+02   1.5 4.24e+01    -  1.00e+00 2.68e-02f  1
 135r 1.8770601e+08 2.16e+00 2.46e+11   0.8 6.44e+00    -  4.07e-02 3.97e-02f  1
 136r 1.8776389e+08 1.71e+00 1.36e+12   0.8 1.04e+01    -  4.13e-02 1.59e-01f  1
 137r 1.8776389e+08 1.71e+00 6.39e+09   0.8 9.91e-01    -  1.54e-01 1.39e-01h  1
 138r 1.8776390e+08 1.71e+00 1.47e+03   0.8 8.64e-01    -  2.46e-01 3.52e-01h  1
 139r 1.8776494e+08 1.71e+00 6.62e+10   0.8 2.35e+00    -  3.68e-02 2.54e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140r 1.8776496e+08 1.71e+00 5.49e+12   0.8 6.57e-01    -  4.72e-01 5.86e-01h  1
 141r 1.8776497e+08 1.71e+00 7.16e+11   0.8 2.31e-01    -  3.87e-01 4.27e-01h  1
